tradingview_symbol,symbol,name_en,name_th,market,industry,sector
SET:NETBAY,NETBAY,NETBAY PUBLIC COMPANY LIMITED,บริษัท เน็ตเบย์ จำกัด (มหาชน),mai,Technology,-
SET:NPK,NPK,NEW PLUS KNITTING PUBLIC COMPANY LIMITED,บริษัท นิวพลัสนิตติ้ง จำกัด (มหาชน),mai,Consumer Products,-
SET:NTF,NTF,NTF INTERGROUP (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เอ็นทีเอฟ อินเตอร์กรุ๊ป (ประเทศไทย) จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:NTSC,NTSC,Nutrition SC Public Company Limited,บริษัท นิวทรีชั่น เอสซี จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:NUT,NUT,NUTRITION PROFESS PUBLIC COMPANY LIMITED,บริษัท นูทริชั่น โปรเฟส จำกัด (มหาชน),mai,Consumer Products,-
SET:PACO,PACO,PRESIDENT AUTOMOBILE INDUSTRIES PUBLIC COMPANY LIMITED,บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด (มหาชน),mai,Industrial,-
SET:PANEL,PANEL,PanelesMatic Solutions Public Company Limited,บริษัท เพเนเล่ส์มาติก โซลูชั่นส์ จำกัด (มหาชน),mai,Property & Construction,-
SET:PDG,PDG,PRODIGY PUBLIC COMPANY LIMITED,บริษัท พรอดดิจิ จำกัด (มหาชน),mai,Industrial,-
SET:PEER,PEER,PEER FOR YOU PUBLIC COMPANY LIMITED,บริษัท เพียร์ ฟอร์ ยู จำกัด (มหาชน),mai,Services,-
SET:PHOL,PHOL,PHOL DHANYA PUBLIC COMPANY LIMITED,บริษัท ผลธัญญะ จำกัด (มหาชน),mai,Industrial,-
SET:PICO,PICO,PICO (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน),mai,Services,-
SET:PIMO,PIMO,PIONEER MOTOR PUBLIC COMPANY LIMITED,บริษัท ไพโอเนียร์ มอเตอร์ จำกัด (มหาชน),mai,Industrial,-
SET:PIS,PIS,Pro Inside Public Company Limited,บริษัท โปร อินไซด์ จำกัด (มหาชน),mai,Technology,-
SET:PLANET,PLANET,PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED,บริษัท แพลนเน็ต คอมมิวนิเคชั่น เอเชีย จำกัด (มหาชน),mai,Technology,-
SET:PLT,PLT,Pilatus Marine Public Company Limited,บริษัท พีลาทัส มารีน จำกัด (มหาชน),mai,Services,-
SET:PMC,PMC,PMC Label Materials Public Company Limited,บริษัท พีเอ็มซี เลเบิล แมททีเรียลส์ จำกัด (มหาชน),mai,Industrial,-
SET:PPM,PPM,PORN PROM METAL PUBLIC COMPANY LIMITED,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),mai,Industrial,-
SET:PPS,PPS,PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),mai,Property & Construction,-
SET:PRAPAT,PRAPAT,PEERAPAT TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท พีรพัฒน์ เทคโนโลยี จำกัด (มหาชน),mai,Industrial,-
SET:PRI,PRI,Primo Service Solutions Public Company Limited,บริษัท พรีโม เซอร์วิส โซลูชั่น จำกัด (มหาชน),mai,Property & Construction,-
SET:PROEN,PROEN,PROEN CORP PUBLIC COMPANY LIMITED,บริษัท โปรเอ็น คอร์ป จำกัด (มหาชน),mai,Technology,-
SET:PROS,PROS,PROSPER ENGINEERING PUBLIC COMPANY LIMITED,บริษัท พรอสเพอร์ เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,Property & Construction,-
SET:PSGC,PSGC,PSG CORPORATION PUBLIC COMPANY LIMITED,บริษัท พีเอสจี คอร์ปอเรชั่น จำกัด (มหาชน),mai,Property & Construction,-
SET:PSTC,PSTC,POWER SOLUTION TECHNOLOGIES PUBLIC COMPANY LIMITED,บริษัท เพาเวอร์ โซลูชั่น เทคโนโลยี จำกัด (มหาชน),mai,Resources,-
